0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,,
Número,DATA,Placar,TIME_MANDANTE,PLACAR_MANDANTE,GOLS_MANDANTE,GOLS_PENALTI_MANDANTE,PLACAR2,TIME_VISITANTE,PLACAR_VISITANTE,GOLS_VISITANTE,GOLS_PENALTI_VISITANTE,RODADA,PUBLICO,CAMPEONATO_ID,CAMPEONATO_DESCRICAO,ESTADIO,SEM_TORCIDA,Gols,OBS,OBS2,
440,08/10/2023,Internacional 3 x 2 Grêmio,Internacional,3,3,, 3 x 2 ,Grêmio,2,2,,,,2023_BR,Brasileirão,Beira-Rio,,"Enner Valencia, Wanderson e Alan Patrick (I). João Pedro e Luis Suárez (G).",,,
439,21/05/2023,Grêmio 3 x 1 Internacional,Grêmio,3,3,, 3 x 1 ,Internacional,1,1,,,,2023_BR,Brasileirão,Arena,,"Luis Suárez, Villasanti e Bitello (G). Johnny (I).",,,
438,05/03/2023,Grêmio 2 x 1 Internacional,Grêmio,2,2,, 2 x 1 ,Internacional,1,1,,,,2023_RS,Gauchão,Arena,,Cristaldo e Carballo (G). Alan Patrick (I).,,,
437,23/03/2022,Grêmio 0 x 1 Internacional,Grêmio,0,0,, 0 x 1 ,Internacional,1,1,,,,2022_RS,Gauchão,Arena,,Taison (I).,,,
436,19/03/2022,Internacional 0 x 3 Grêmio,Internacional,0,0,, 0 x 3 ,Grêmio,3,3,,,,2022_RS,Gauchão,Beira-Rio,,"Elias, Bitello e Diego Souza (G).",,,
435,09/03/2022,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2022_RS,Gauchão,Beira-Rio,,David (I).,,,
434,06/11/2021,Internacional 1 x 0 Grêmio,Internacional,1,1,, 1 x 0 ,Grêmio,0,0,,,,2021_BR,Brasileirão,Beira-Rio,,Taison (I).,,,
433,10/07/2021,Grêmio 0x0 Internacional,Grêmio,0,0,, 0x0 ,Internacional,0,0,,11,0,2021_BR,Brasileirão,Arena,S,,,,
432,23/05/2021,Grêmio 1x1 Internacional,Grêmio,1,1,, 1x1 ,Internacional,1,1,,,,2021_RS,Gauchão,Arena,,Ferreira (G) e Rodrigo Dourado (I).,Decisão do título.,,
431,16/05/2021,Internacional 1x2 Grêmio,Internacional,1,1,, 1x2 ,Grêmio,2,2,,,,2021_RS,Gauchão,Beira-Rio,,Thiago Galhardo (I); Diego Souza e Ricardinho (G).,,,
430,03/04/2021,Grêmio 1x0 Internacional,Grêmio,1,1,, 1x0 ,Internacional,0,0,,,,2021_RS,Gauchão,Arena,,Léo Chú,,,
429,24/01/2021,Internacional 2x1 Grêmio,Internacional,2,2,, 2x1 ,Grêmio,1,1,,,,2021_BR,Brasileirão,Beira-Rio,,"Jean Pyerre (G), Abel Hernández (I) e Edenilson (I).",Primeiro Gre-Nal da década de 2020.,,
428,03/10/2020,Grêmio 1x1 Internacional,Grêmio,1,1,, 1x1 ,Internacional,1,1,,,0,2020_BR,Brasileirão,Arena,S,Pepê (G) e Thiago Galhardo (I).,,,
427,23/09/2020,Internacional 0x1 Grêmio,Internacional,0,0,, 0x1 ,Grêmio,1,1,,Grupos,0,2020_LA,Libertadores,Beira-Rio,S,Pepê,,4a rodada do grupo?,
426,05/08/2020,Grêmio 2x0 Internacional,Grêmio,2,2,, 2x0 ,Internacional,0,0,,,,2020_RS,Gauchão,Arena,,Maicon e Isaque.,Final do returno.,,
425,22/07/2020,Internacional 0x1 Grêmio,Internacional,0,0,, 0x1 ,Grêmio,1,1,,,,2020_RS,Gauchão,Centenário (Caxias do Sul),,Jean Pyerre,Clássico disputado sem público por conta da pandemia de Covid-19.,,
424,12/03/2020,Grêmio 0 x 0 Internacional,Grêmio,0,0,, 0 x 0 ,Internacional,0,0,,Grupos,53389,2020_LA,Libertadores,Arena,,,Primeiro Gre-Nal da história da Libertadores.,2a rodada do grupo,
423,15/02/2020,Internacional 0 x 1 Grêmio,Internacional,0,0,, 0 x 1 ,Grêmio,1,1,,,,2020_RS,Gauchão,Beira-Rio,,Diego Souza,Semifinal do primeiro turno.,,
422,03/11/2019,Grêmio 2 x 0 Internacional,Grêmio,2,2,, 2 x 0 ,Internacional,0,0,,,,2019_BR,Brasileiro,Arena,,Pedro Geromel e Rômulo.,,,
421,20/07/2019,Internacional 1 x 1 Grêmio,Internacional,1,1,, 1 x 1 ,Grêmio,1,1,,,38201,2019_BR,Brasileirão,Beira-Rio,,"Paulo Miranda (I, contra) e Luan (G).",,,
420,17/04/2019,Grêmio 0(3) x (2)0 Internacional,Grêmio,0(3),0,3, 0(3) x (2)0 ,Internacional,(2)0,0,2,,,2019_RS,Gauchão,Arena,,,,,
